日付,降水量合計_mm,平均気温_℃,平均湿度_%,降雪量合計_cm,天気概況_昼
2023-05-03,,16.9,50.0,,晴時々曇
2023-05-04,,19.1,58.0,,晴
2023-05-05,0.0,21.0,54.0,,晴時々曇
2023-05-06,16.0,22.3,61.0,,曇後一時雨
2023-05-07,101.0,13.9,98.0,,雨
2023-05-08,43.0,12.4,84.0,,雨後曇時々晴
2023-05-09,,13.4,67.0,,晴
2023-05-10,,16.0,66.0,,晴
2023-05-11,,14.0,63.0,,晴
2023-05-12,,13.7,62.0,,晴
2023-05-13,3.0,16.3,76.0,,曇時々晴後雨、雷を伴う
2023-05-14,2.0,16.9,81.0,,雨時々曇
2023-05-15,5.0,17.4,85.0,,晴時々雨、雷を伴う
2023-05-16,,19.9,59.0,,晴
2023-05-17,,23.9,48.0,,晴
2023-05-18,,23.0,55.0,,晴後曇
2023-05-19,6.5,18.5,85.0,,雨時々曇
2023-05-20,0.0,18.0,88.0,,曇一時雨後晴
2023-05-21,0.0,22.0,67.0,,晴後時々曇
2023-05-22,1.5,18.3,83.0,,曇後一時雨
2023-05-23,4.0,15.8,80.0,,曇時々雨
2023-05-24,,15.9,63.0,,晴
2023-05-25,,17.2,66.0,,曇後一時晴
2023-05-26,0.0,21.0,55.0,,曇時々雨
2023-05-27,,22.2,63.0,,曇時々晴
2023-05-28,0.5,22.5,67.0,,曇後一時雨
2023-05-29,76.5,19.5,96.0,,大雨
2023-05-30,1.0,19.6,83.0,,雨時々曇後晴
2023-05-31,0.0,18.3,70.0,,曇後晴
2023-06-01,7.5,20.1,67.0,,曇時々晴
2023-06-02,81.5,20.0,97.0,,大雨
2023-06-03,,19.6,73.0,,晴一時曇
2023-06-04,,21.4,58.0,,晴
2023-06-05,,23.0,48.0,,晴後一時曇
2023-06-06,0.0,22.3,56.0,,曇一時晴
2023-06-07,,22.0,69.0,,晴後時々曇
2023-06-08,10.0,20.4,82.0,,曇一時晴後雨
2023-06-09,23.5,21.2,83.0,,曇一時雨
2023-06-10,,22.0,81.0,,曇時々晴
2023-06-11,4.5,20.8,92.0,,雨後時々曇
2023-06-12,0.0,21.5,89.0,,曇時々雨
2023-06-13,0.0,23.7,82.0,,曇時々晴一時雨
2023-06-14,4.5,22.2,94.0,,雨
2023-06-15,9.5,21.6,90.0,,曇後一時雨
2023-06-16,32.0,19.9,89.0,,雨後曇時々晴
2023-06-17,,23.8,66.0,,晴
2023-06-18,,24.5,66.0,,曇時々晴
2023-06-19,0.0,21.0,74.0,,晴一時雨
2023-06-20,,20.8,73.0,,晴時々曇
2023-06-21,0.0,25.9,51.0,,曇一時晴後一時雨
2023-06-22,5.5,21.9,76.0,,雨時々曇
2023-06-23,2.5,23.2,79.0,,曇後一時晴
2023-06-24,0.0,23.9,75.0,,曇一時晴後時々雨
2023-06-25,,23.4,79.0,,晴時々曇
2023-06-26,,25.0,75.0,,曇時々晴
2023-06-27,25.0,27.4,73.0,,曇後一時雨
2023-06-28,4.5,25.7,84.0,,曇時々雨、雷を伴う
2023-06-29,0.0,27.5,71.0,,晴後曇一時雨
2023-06-30,2.5,26.2,78.0,,曇時々雨
2023-07-01,26.0,23.1,97.0,,雨、雷を伴う
2023-07-02,0.0,25.4,78.0,,曇時々晴
2023-07-03,,25.0,80.0,,晴時々曇
2023-07-04,0.0,23.9,82.0,,晴一時雨
2023-07-05,5.5,25.8,66.0,,曇後一時雨
2023-07-06,1.0,27.3,68.0,,晴後時々曇
2023-07-07,0.5,27.8,52.0,,曇時々晴
2023-07-08,33.0,25.7,87.0,,雨時々曇
2023-07-09,28.0,26.1,89.0,,曇時々雨
2023-07-10,11.5,27.7,80.0,,曇時々雨、雷を伴う
2023-07-11,12.5,28.0,74.0,,曇一時雨、雷を伴う
2023-07-12,139.0,25.6,83.0,,曇後時々雨、雷を伴う
2023-07-13,54.5,26.1,82.0,,曇一時雨、雷を伴う
2023-07-14,31.0,26.8,79.0,,雨時々曇
2023-07-15,0.0,30.0,60.0,,曇一時雨
2023-07-16,,31.6,60.0,,曇時々晴
2023-07-17,,29.4,70.0,,晴
2023-07-18,,29.1,71.0,,曇時々晴
2023-07-19,12.0,26.0,88.0,,雨時々曇
2023-07-20,8.0,25.1,82.0,,晴時々曇
2023-07-21,,25.4,81.0,,晴一時曇
2023-07-22,,26.9,80.0,,晴
2023-07-23,,29.1,70.0,,晴
2023-07-24,,30.0,60.0,,晴
2023-07-25,,30.5,62.0,,晴
2023-07-26,,30.3,71.0,,晴後一時曇
2023-07-27,,29.7,74.0,,晴後一時曇、雷を伴う
2023-07-28,,29.9,74.0,,晴後一時曇、雷を伴う
2023-07-29,,30.4,71.0,,晴後曇、雷を伴う
2023-07-30,,31.4,60.0,,晴
2023-07-31,,30.5,67.0,,曇時々晴、雷を伴う
2023-08-01,0.0,30.6,63.0,,晴一時曇、雷を伴う
2023-08-02,,30.5,61.0,,曇時々晴
2023-08-03,,32.1,54.0,,晴一時曇
2023-08-04,,31.9,58.0,,晴、雷を伴う
2023-08-05,,31.5,63.0,,晴、雷を伴う
2023-08-06,0.0,30.8,71.0,,晴後時々曇、雷を伴う
2023-08-07,0.5,30.9,67.0,,曇後雨時々晴、雷を伴う
2023-08-08,,30.9,67.0,,曇後時々晴、雷を伴う
2023-08-09,0.0,32.2,63.0,,曇時々晴、雷を伴う
2023-08-10,,33.1,54.0,,晴
2023-08-11,,30.7,59.0,,晴
2023-08-12,,30.0,68.0,,晴一時曇
2023-08-13,0.0,29.8,69.0,,晴
2023-08-14,0.0,30.3,75.0,,曇時々晴
2023-08-15,1.0,30.4,72.0,,曇後一時雨
2023-08-16,7.5,29.0,75.0,,曇時々雨
2023-08-17,0.0,28.3,81.0,,曇一時晴後雨、雷を伴う
2023-08-18,0.0,30.7,64.0,,晴一時雨後曇
2023-08-19,,30.8,69.0,,晴
2023-08-20,,30.3,76.0,,晴、雷を伴う
2023-08-21,,30.3,73.0,,晴、雷を伴う
2023-08-22,,31.1,71.0,,晴
2023-08-23,11.5,30.2,74.0,,晴後雨時々曇、雷を伴う
2023-08-24,0.0,31.2,63.0,,晴後曇一時雨、雷を伴う
2023-08-25,0.0,31.4,60.0,,晴時々曇一時雨
2023-08-26,15.0,29.3,73.0,,晴、雷を伴う
2023-08-27,1.0,27.7,76.0,,曇後時々晴、雷を伴う
2023-08-28,,28.5,76.0,,晴
2023-08-29,,29.7,71.0,,晴
2023-08-30,,31.1,56.0,,曇一時晴
2023-08-31,,31.9,46.0,,曇一時晴
2023-09-01,,30.3,56.0,,曇後時々晴
2023-09-02,,28.0,70.0,,曇後時々晴
2023-09-03,0.0,27.8,76.0,,晴時々曇
2023-09-04,0.0,28.7,77.0,,曇後一時雨一時晴
2023-09-05,58.0,27.1,91.0,,大雨時々曇、雷を伴う
2023-09-06,38.5,24.3,93.0,,大雨時々曇、雷を伴う
2023-09-07,,25.5,79.0,,曇時々晴
2023-09-08,0.0,26.4,77.0,,曇一時雨
2023-09-09,0.0,27.4,75.0,,晴後曇一時雨
2023-09-10,,27.9,75.0,,晴時々曇、雷を伴う
2023-09-11,3.0,28.0,71.0,,曇後時々雨
2023-09-12,30.0,25.9,81.0,,曇時々雨、雷を伴う
2023-09-13,0.0,26.7,82.0,,晴一時曇
2023-09-14,0.0,28.0,73.0,,曇一時晴後時々雨
2023-09-15,8.0,26.6,86.0,,曇一時雨
2023-09-16,,28.8,76.0,,晴時々曇、雷を伴う
2023-09-17,,28.9,76.0,,晴
2023-09-18,15.5,26.8,82.0,,雨後曇時々晴、雷を伴う
2023-09-19,,28.0,75.0,,晴時々曇、雷を伴う
2023-09-20,5.0,26.3,79.0,,曇時々雨一時晴
2023-09-21,19.5,26.2,81.0,,曇時々雨、雷を伴う
2023-09-22,0.0,23.3,84.0,,曇時々雨
2023-09-23,1.0,21.2,81.0,,雨時々曇
2023-09-24,,21.6,73.0,,晴
2023-09-25,,23.5,68.0,,曇時々晴
2023-09-26,1.0,23.0,83.0,,雨時々曇
2023-09-27,4.5,23.5,89.0,,雨時々曇
2023-09-28,16.0,23.2,94.0,,雨時々曇
2023-09-29,0.5,23.5,80.0,,晴
2023-09-30,16.5,23.1,80.0,,曇時々雨一時晴
2023-10-01,4.0,21.5,84.0,,雨一時晴後曇
2023-10-02,,20.0,64.0,,晴一時曇
2023-10-03,0.0,19.4,62.0,,曇時々晴
2023-10-04,4.0,21.0,80.0,,曇一時晴後時々雨
2023-10-05,7.5,17.6,81.0,,雨時々曇、雷を伴う
2023-10-06,1.0,16.5,74.0,,雨後晴時々曇
2023-10-07,5.5,17.0,73.0,,晴後曇一時雨
2023-10-08,1.0,16.7,74.0,,曇後一時雨
2023-10-09,15.5,17.3,93.0,,雨後曇
2023-10-10,7.0,18.5,88.0,,曇一時晴後雨、雷を伴う
2023-10-11,0.5,17.2,75.0,,晴一時雨
2023-10-12,,16.7,72.0,,晴一時曇
2023-10-13,,16.3,72.0,,晴後時々曇
2023-10-14,1.5,17.1,70.0,,曇時々晴
2023-10-15,29.5,15.9,91.0,,雨時々曇、雷を伴う
2023-10-16,9.0,17.8,82.0,,雨時々曇一時晴
2023-10-17,,17.1,73.0,,晴
2023-10-18,,17.2,66.0,,晴後一時曇
2023-10-19,,19.6,61.0,,晴時々曇
2023-10-20,12.5,18.7,70.0,,曇一時晴後雨
2023-10-21,19.0,11.7,88.0,,雨時々曇
2023-10-22,0.0,13.4,67.0,,晴一時曇
2023-10-23,0.0,16.6,67.0,,曇一時雨後晴
2023-10-24,0.0,17.6,69.0,,晴後一時雨一時曇、雷を伴う
2023-10-25,0.0,16.6,72.0,,曇時々晴一時雨、雷を伴う
2023-10-26,0.0,16.6,71.0,,晴後一時雨一時曇
2023-10-27,35.0,15.7,72.0,,晴後時々大雨、雷を伴う
2023-10-28,7.5,14.3,86.0,,雨時々曇一時晴、雷を伴う
2023-10-29,6.0,13.4,86.0,,雨時々曇一時晴
2023-10-30,,14.2,80.0,,曇後時々晴
2023-10-31,,14.9,75.0,,晴時々曇
2023-11-01,,16.3,63.0,,晴一時曇
2023-11-02,,18.3,67.0,,晴一時曇
2023-11-03,,19.7,54.0,,晴
2023-11-04,0.0,18.3,70.0,,曇
2023-11-05,0.0,18.2,82.0,,晴一時曇
2023-11-06,0.0,24.7,45.0,,曇後時々雨
2023-11-07,23.5,16.9,77.0,,雨時々曇一時晴
2023-11-08,,14.0,80.0,,曇時々晴
2023-11-09,,16.2,71.0,,晴一時曇
2023-11-10,27.0,17.2,79.0,,雨時々曇
2023-11-11,7.5,9.8,78.0,,雨時々曇
2023-11-12,40.5,8.4,88.0,,雨時々曇
2023-11-13,35.5,6.9,87.0,,雨時々曇一時晴
2023-11-14,1.0,9.1,80.0,,曇一時雨後時々晴
2023-11-15,0.0,10.6,74.0,,曇時々晴一時雨
2023-11-16,0.0,13.0,61.0,,曇時々晴
2023-11-17,13.5,12.0,79.0,,雨時々曇
2023-11-18,37.5,6.3,85.0,,雨、雷を伴う
2023-11-19,9.5,10.2,76.0,,曇時々雨
2023-11-20,19.5,9.0,84.0,,雨時々曇一時晴、雷を伴う
2023-11-21,,8.2,78.0,,晴一時曇
2023-11-22,,11.7,71.0,,晴一時曇
2023-11-23,0.0,14.8,64.0,,曇一時雨後一時晴
2023-11-24,24.5,11.4,83.0,,雨時々曇、雷を伴う
2023-11-25,5.5,5.7,90.0,,雨時々曇
2023-11-26,,7.6,79.0,,晴時々曇
2023-11-27,0.0,12.4,69.0,,晴時々曇
2023-11-28,13.5,10.6,78.0,,雨後時々曇、雷を伴う
2023-11-29,14.5,7.8,83.0,,雨
2023-11-30,14.0,5.9,89.0,,雨
2023-12-01,5.0,5.5,87.0,,曇時々晴後雨
2023-12-02,5.0,5.4,90.0,,雨時々曇
2023-12-03,13.0,6.4,82.0,,雨時々曇
2023-12-04,,7.0,72.0,,晴一時曇
2023-12-05,,7.5,64.0,,曇
2023-12-06,,9.6,61.0,,晴時々曇
2023-12-07,7.5,10.4,66.0,,雨時々曇、雷を伴う
2023-12-08,0.0,11.1,59.0,,晴一時曇
2023-12-09,,13.5,51.0,,晴時々曇
2023-12-10,0.0,12.7,68.0,,晴後曇一時雨
2023-12-11,4.5,10.0,77.0,,曇一時雨
2023-12-12,25.0,10.4,91.0,,雨
2023-12-13,2.5,8.0,74.0,,曇一時雨後晴
2023-12-14,,7.7,73.0,,曇時々晴
2023-12-15,17.0,13.2,81.0,,雨時々曇
2023-12-16,23.0,13.4,86.0,,曇時々雨
2023-12-17,22.0,2.8,87.0,3,みぞれ時々雪一時雨
2023-12-18,11.5,2.4,92.0,3,みぞれ後雨時々曇
2023-12-19,0.0,5.0,83.0,,曇
2023-12-20,13.5,5.3,89.0,,雨
2023-12-21,34.0,1.8,91.0,10,みぞれ時々雪、雷を伴う
2023-12-22,36.5,0.4,95.0,27,大雪後時々みぞれ、雷を伴う
2023-12-23,10.0,1.5,94.0,14,雪後みぞれ時々曇
2023-12-24,10.5,3.0,87.0,,曇後時々雨、みぞれを伴う
2023-12-25,21.0,3.1,94.0,,雨一時みぞれ、雷を伴う
2023-12-26,5.5,5.2,81.0,,曇後一時雨
2023-12-27,4.0,4.6,94.0,,雨
2023-12-28,1.0,6.2,72.0,,晴時々曇一時雨
2023-12-29,2.0,6.9,82.0,,曇時々雨後晴
2023-12-30,,6.6,72.0,,晴時々曇
2023-12-31,39.5,8.6,86.0,,雨
2024-01-01,1.5,6.5,67.0,,曇時々雨
2024-01-02,,4.7,77.0,,晴一時曇
2024-01-03,0.5,7.9,74.0,,曇時々雨
2024-01-04,13.5,6.9,82.0,,雨後曇時々晴
2024-01-05,0.0,8.2,60.0,,晴時々曇
2024-01-06,4.0,8.9,78.0,,雨時々曇
2024-01-07,19.0,3.2,91.0,1,みぞれ時々雨一時曇
2024-01-08,2.0,1.5,84.0,1,雪後曇時々みぞれ
2024-01-09,3.0,4.1,66.0,,晴後曇時々雨
2024-01-10,14.0,4.5,85.0,,雨後一時曇
2024-01-11,,3.1,77.0,,曇後晴
2024-01-12,12.5,5.1,78.0,,雨時々曇、雷を伴う
2024-01-13,18.0,1.2,95.0,6,みぞれ一時雨後雪
2024-01-14,0.0,2.2,73.0,,晴時々曇
2024-01-15,19.5,2.1,90.0,6,みぞれ時々雪一時雨後時々曇
2024-01-16,5.0,0.2,90.0,8,雪時々曇
2024-01-17,,2.6,74.0,,晴時々曇
2024-01-18,29.5,7.4,82.0,,雨
2024-01-19,0.5,7.0,79.0,,曇時々雨
2024-01-20,9.0,4.6,92.0,,雨時々曇
2024-01-21,22.0,7.4,96.0,,雨後時々曇
2024-01-22,3.5,7.5,89.0,,曇時々雨
2024-01-23,26.5,2.5,89.0,15,みぞれ時々雨一時雪
2024-01-24,8.0,-0.5,92.0,10,雪時々曇
2024-01-25,7.0,0.3,90.0,12,雪時々曇、雷を伴う
2024-01-26,7.0,1.6,91.0,5,みぞれ一時雪
2024-01-27,0.0,2.7,87.0,,みぞれ後曇一時雨
2024-01-28,1.0,2.5,88.0,,みぞれ時々雪一時曇後雨
2024-01-29,0.0,3.9,74.0,,曇後時々晴
2024-01-30,,4.7,67.0,,晴時々曇
2024-01-31,0.0,6.2,77.0,,曇後一時雨
2024-02-01,5.5,4.2,91.0,1,雨一時曇後雪時々みぞれ
2024-02-02,0.0,1.8,73.0,1,曇一時雪
2024-02-03,,3.7,67.0,,晴時々曇
2024-02-04,0.0,3.9,77.0,,曇後時々晴一時雨、みぞれを伴う
2024-02-05,30.0,1.6,89.0,8,みぞれ時々曇一時雪
2024-02-06,1.0,2.9,89.0,,曇時々みぞれ一時雨
2024-02-07,6.5,3.5,87.0,,みぞれ一時晴後雨時々曇
2024-02-08,0.5,4.3,80.0,,曇後一時雨、みぞれを伴う
2024-02-09,0.0,4.7,76.0,,曇時々晴一時雨、みぞれを伴う
2024-02-10,8.0,3.7,81.0,,曇一時晴後雨
2024-02-11,4.0,4.1,78.0,,曇後晴一時雨、みぞれを伴う
2024-02-12,5.5,4.4,82.0,,みぞれ時々雨一時曇後晴
2024-02-13,,8.4,53.0,,晴一時曇
2024-02-14,,12.1,49.0,,曇時々晴
2024-02-15,25.0,14.1,63.0,,曇時々雨
2024-02-16,13.0,4.4,71.0,,曇一時みぞれ
2024-02-17,,4.8,77.0,,晴
2024-02-18,,10.0,75.0,,晴一時曇
2024-02-19,6.5,17.5,61.0,,雨時々曇
2024-02-20,13.5,10.0,91.0,,雨
2024-02-21,49.5,5.4,94.0,,雨
2024-02-22,8.0,4.5,83.0,,雨後曇、みぞれを伴う
2024-02-23,5.5,3.6,86.0,,雨一時みぞれ後時々曇
2024-02-24,2.0,3.5,78.0,,みぞれ後曇一時晴
2024-02-25,9.5,3.1,93.0,,みぞれ後雨
2024-02-26,7.5,4.7,79.0,,雨時々曇、みぞれを伴う
2024-02-27,3.0,3.2,81.0,1,曇時々雪後みぞれ一時雨
2024-02-28,1.0,4.4,78.0,,曇時々晴、みぞれを伴う
2024-02-29,20.0,4.9,76.0,,曇一時晴
2024-03-01,18.0,5.2,88.0,1,雨時々曇
2024-03-02,6.5,0.7,87.0,10,雪時々曇、みぞれを伴う
2024-03-03,5.0,3.7,72.0,,曇時々晴後雨
2024-03-04,9.5,4.9,81.0,,雨時々曇一時晴、みぞれを伴う
2024-03-05,18.5,3.6,83.0,,曇後時々雨
2024-03-06,5.5,4.4,85.0,,雨時々曇
2024-03-07,0.0,5.7,63.0,,曇時々晴一時雨、みぞれを伴う
2024-03-08,8.0,4.5,79.0,,曇後雨時々晴
2024-03-09,9.0,2.0,84.0,3,曇時々雪一時みぞれ
2024-03-10,0.5,3.0,81.0,,みぞれ時々雪後曇一時雨
2024-03-11,,6.5,58.0,,晴時々曇
2024-03-12,30.0,6.2,83.0,,雨
2024-03-13,4.5,5.6,72.0,,曇一時雨、みぞれを伴う
2024-03-14,0.0,8.5,57.0,,曇一時雨後晴
2024-03-15,,11.0,42.0,,晴一時曇
2024-03-16,,9.4,68.0,,晴一時曇
2024-03-17,1.0,11.1,65.0,,曇後時々雨
2024-03-18,0.0,5.2,56.0,,曇時々みぞれ一時雨
2024-03-19,1.5,6.3,57.0,,曇時々晴一時雨
2024-03-20,18.0,4.6,83.0,1,雨時々曇一時晴後一時みぞれ
2024-03-21,0.0,2.3,77.0,,雪一時晴後曇時々みぞれ
2024-03-22,1.0,4.4,68.0,2,晴時々曇一時雪、みぞれを伴う
2024-03-23,7.5,8.0,71.0,,雨後曇一時晴
2024-03-24,,9.8,80.0,,晴時々曇
2024-03-25,5.0,9.7,87.0,,雨時々曇
2024-03-26,61.0,6.9,94.0,,大雨
2024-03-27,0.5,6.9,74.0,,晴時々雨一時曇
2024-03-28,0.0,10.6,65.0,,曇一時晴
2024-03-29,10.5,16.0,65.0,,雨時々曇後晴
2024-03-30,1.5,14.8,58.0,,雨後晴時々曇
2024-03-31,1.5,12.9,72.0,,曇時々雨
2024-04-01,0.0,10.9,66.0,,曇後晴一時雨
2024-04-02,,8.8,70.0,,曇
2024-04-03,34.0,10.6,87.0,,雨時々曇
2024-04-04,12.5,11.8,84.0,,曇一時雨
2024-04-05,,10.7,70.0,,曇時々晴
2024-04-06,,11.4,78.0,,曇時々晴
2024-04-07,,15.2,70.0,,晴時々曇
2024-04-08,18.5,14.5,83.0,,曇時々晴後雨
2024-04-09,59.5,9.8,87.0,,雨
2024-04-10,,8.8,65.0,,晴
2024-04-11,,12.6,66.0,,曇時々晴
2024-04-12,,14.7,67.0,,晴時々曇
2024-04-13,,13.9,71.0,,晴
2024-04-14,,15.2,72.0,,晴
2024-04-15,,18.3,63.0,,晴時々曇
2024-04-16,8.0,20.0,53.0,,雨後曇時々晴
2024-04-17,20.5,17.3,73.0,,晴時々曇
2024-04-18,,13.9,79.0,,曇一時晴
2024-04-19,,15.1,62.0,,晴時々曇
2024-04-20,,14.1,72.0,,曇時々晴
2024-04-21,1.5,13.9,82.0,,曇後時々雨
2024-04-22,0.0,13.7,86.0,,曇一時雨
2024-04-23,0.0,14.1,89.0,,曇時々雨
2024-04-24,18.0,15.0,94.0,,雨時々曇
2024-04-25,0.0,17.3,69.0,,晴一時曇
2024-04-26,,17.3,67.0,,晴後時々曇
2024-04-27,,17.9,72.0,,曇時々晴
2024-04-28,,18.6,65.0,,晴後一時曇
2024-04-29,1.0,16.5,88.0,,曇
2024-04-30,5.0,17.1,92.0,,雨時々曇
2024-05-01,3.0,12.9,85.0,,曇一時雨
2024-05-02,,13.5,73.0,,晴
2024-05-03,,16.6,69.0,,晴
2024-05-04,,18.3,63.0,,晴
2024-05-05,,22.4,47.0,,晴
2024-05-06,0.0,23.1,39.0,,曇時々雨
2024-05-07,6.5,18.7,73.0,,曇時々雨
2024-05-08,13.0,11.2,91.0,,雨
2024-05-09,6.0,12.0,74.0,,雨時々曇後晴
2024-05-10,,16.8,53.0,,晴
2024-05-11,,21.7,44.0,,晴
2024-05-12,5.5,21.0,55.0,,雨時々曇
2024-05-13,44.0,14.1,91.0,,雨後時々曇
2024-05-14,,14.4,78.0,,晴
2024-05-15,0.0,18.7,74.0,,曇時々晴
2024-05-16,9.5,16.8,78.0,,雨時々曇一時晴、雷を伴う
2024-05-17,0.0,18.8,51.0,,曇一時雨後晴
2024-05-18,,21.3,41.0,,晴後一時曇
2024-05-19,1.0,19.9,63.0,,曇後一時雨
2024-05-20,7.0,18.7,79.0,,曇時々雨一時晴
2024-05-21,0.0,15.9,84.0,,曇一時雨
2024-05-22,,17.1,77.0,,晴
2024-05-23,,23.9,55.0,,曇後一時晴
2024-05-24,0.0,20.3,72.0,,曇後一時雨
2024-05-25,,16.4,74.0,,晴一時曇
2024-05-26,,18.4,69.0,,晴一時曇
2024-05-27,3.5,23.5,61.0,,曇時々雨
2024-05-28,126.0,14.8,95.0,,大雨
2024-05-29,3.5,16.6,81.0,,曇時々雨後晴
2024-05-30,0.0,17.1,79.0,,曇時々晴
2024-05-31,0.0,18.8,79.0,,雨時々曇
2024-06-01,,19.4,72.0,,晴
2024-06-02,22.0,17.3,90.0,,雨時々曇一時晴、雷を伴う
2024-06-03,2.5,17.3,83.0,,曇時々晴後雨
2024-06-04,0.5,18.0,82.0,,曇時々雨後晴
2024-06-05,0.0,18.9,76.0,,晴時々曇
2024-06-06,,18.6,80.0,,曇一時晴
2024-06-07,,20.9,77.0,,晴時々曇
2024-06-08,,23.7,59.0,,晴後一時曇
2024-06-09,0.0,24.0,51.0,,曇一時雨
2024-06-10,0.0,22.0,77.0,,曇一時雨後晴
2024-06-11,,24.6,65.0,,晴
2024-06-12,,26.4,64.0,,晴時々曇、雷を伴う
2024-06-13,,25.9,67.0,,晴一時曇
2024-06-14,,24.3,71.0,,晴
2024-06-15,,26.3,68.0,,晴時々曇
2024-06-16,0.0,26.1,67.0,,曇時々晴一時雨
2024-06-17,,25.1,58.0,,曇一時晴
2024-06-18,7.5,21.9,74.0,,雨後曇
2024-06-19,,23.8,68.0,,晴
2024-06-20,,26.2,61.0,,晴時々曇
2024-06-21,0.0,24.9,69.0,,曇一時雨後晴
2024-06-22,6.0,24.5,65.0,,曇
2024-06-23,92.0,22.6,90.0,,大雨時々曇
2024-06-24,3.0,25.8,81.0,,曇一時雨後晴
2024-06-25,0.0,26.1,72.0,,曇
2024-06-26,,24.6,65.0,,曇後時々晴
2024-06-27,,23.4,67.0,,曇時々晴
2024-06-28,2.0,21.9,84.0,,雨時々曇
2024-06-29,,24.6,75.0,,晴
2024-06-30,14.5,25.5,80.0,,雨時々曇
2024-07-01,46.0,24.6,85.0,,曇時々雨
2024-07-02,8.0,24.3,85.0,,曇後一時雨
2024-07-03,4.5,29.0,72.0,,曇時々晴
2024-07-04,9.0,28.2,75.0,,雨時々曇後晴
2024-07-05,0.0,29.6,62.0,,晴時々曇、雷を伴う
2024-07-06,1.0,27.6,79.0,,曇時々雨、雷を伴う
2024-07-07,0.0,30.7,61.0,,晴時々曇
2024-07-08,5.5,27.9,78.0,,曇後時々雨
2024-07-09,0.0,27.2,77.0,,曇時々雨
2024-07-10,14.0,25.4,87.0,,雨
2024-07-11,7.5,24.5,87.0,,雨一時晴後曇
2024-07-12,2.0,24.0,89.0,,雨後曇一時晴
2024-07-13,,24.8,83.0,,晴時々曇
2024-07-14,17.0,23.9,92.0,,雨一時曇
2024-07-15,17.5,25.2,89.0,,曇時々雨一時晴、雷を伴う
2024-07-16,6.5,26.0,86.0,,曇一時晴後一時雨、雷を伴う
